Department,Semester,Course Code,Course Name,L,T,P,S,C,Faculty,Schedule,total_students,
CSE,2,CS162,Optimization,3,1,0,0,2,Dr. Dibyajyothi,Yes,70,
CSE,2,CS163,Data Structures & Algorithms,3,0,2,0,4,Prof. CB Akki/Dr. Suvadip Hazra,Yes,70,
CSE,2,CS164,Computer Architecture,3,0,2,0,2,Dr. Prabhu Prasad/Prof. CB Akki,Yes,70,
CSE,2,CS165,Mathematical foundations of Computing,3,0,0,0,3,Dr. Animesh Roy,Yes,70,
CSE,2,HS204 ,Economics ,2,1,0,0,3,Dr. Anusree Kini,Yes,70,
CSE,2,B0-HS153, Innovation and Entrepreneurship ,2,1,0,2,3,Dr. Deepak KT,Yes,70,
CSE,2,B1-ASD151,Introduction to Design,1,0,0,1,0,Dr. Sandesh P,Yes,108,
CSE,2,B1-HS151,Introduction to Personal Finance,2,0,0,2,0,Dr. Siddharth,Yes,125,
CSE,2,B1-IOT101,Introduction to Internet of Things,2,0,0,2,0,Dr Jagadeesha Bhat,Yes,22,
CSE,2,B2-CC101,Concurrency and Computation,2,0,0,2,0,Dr. Pramod Yelmewad,Yes,19,
CSE,2,B2-CISM101,Computer Intensive Statistical Methods,2,0,0,2,0,Dr Ramesh Athe,Yes,23,
CSE,2,B2-IIP101,Industry Insights Program Part 1,1,0,0,1,0,Mr. Ram Subramanian & Mr. Sasi Kumar Sundara Rajan,Yes,34,
CSE,4,MA202,Linear Algebra,3,1,0,0,4,Dr. Anand Barangi,Yes,70,
CSE,4,CS206,Theory of Computing,3,1,0,0,4,Dr. Pavan/Dr. Sunil C K,Yes,70,
CSE,4,CS204,Operating Systems,3,0,2,0,4,Dr. Suvadip Hazra/Dr. Malay and Dr. Dibyajyothi,Yes,70,
CSE,4,CS301,Software Engineering,3,1,0,0,4,Dr. Vivekraj/Dr. Sunil Kumar P V,Yes,70,
CSE,4,CS310,Database Management Systems,3,1,2,0,5,Dr. Pramod Yelmewad/Dr. Abdul Wahid,Yes,70,
CSE,4,HS205,Ethics,3,0,0,0,3,"Dr. Jolly Thomas, IIT Dharwad",Yes,70,
CSE,6,CS307,Machine Learning,3,0,2,0,4,Dr. Girish GN/Dr. Krishnendu Ghosh,Yes,70,
CSE,6,B1-CS471,Deep Learning for Computer Vision,3,1,0,0,4,Chinmayanand,Yes,31,
CSE,6,B1-abc001,Large Languange Models,3,1,0,0,4,Dr. Sunil S,Yes,27,
CSE,6,B1-abc002,Natural Language Processing,3,1,0,0,4,Dr. Krishnendu,Yes,24,
CSE,6,B1-abc003,Deep Speech Processing,3,0,0,4,4,Prof. SRM Prasanna,Yes,18,
CSE,6,B1-abc004,CMOS RF Circuit Design,,,,,,Dr. Pankaj Kumar and Dr. Rajesh Kumar,Yes,20,
CSE,6,B2-abc005,Blockchain Technology,3,1,0,0,4,Dr. Rajendra H,Yes,32,
CSE,6,B2-abc006,Introduction to 5G Network,3,1,0,0,4,Dr. Jagadeesha R Bhat,Yes,26,
CSE,6,B2-abc007,Model Checking,3,0,0,4,4,Dr. Pavan,Yes,23,
CSE,6,B2-abc008,Quantum Communication,3,0,0,0,3,Dr. Aswath B,Yes,15,
CSE,6,B2-abc009,Quantum HPC and AI,1,0,0,0,1,Dr. Manish M (Dr. Aswath),Yes,17,
CSE,6,B2-abc010,Design Thinking and Innovation,3,1,0,0,4,Dr. Sandesh P,Yes,29,
CSE,6,B3-abc011,Automotive Embedded and Multimedia Systems,3,0,0,4,4,Mr. Jagadeesh K (Dr Sibasankar Padhy),Yes,22,
CSE,6,B3-abc012,Microwave Engineering,3,1,0,0,4,Dr. Somen,Yes,18,
CSE,6,B3-CS462,Computer Graphics,3,1,0,0,4,Dr. Vivekraj V K,Yes,25,
CSE,6,B3-CS469,Virtualization and Cloud Computing,,,,,,Dr Malay,Yes,21,
CSE,6,B4-abc013,Data Analytics and Visualization,3,1,0,0,4,Dr. Sunil CK,Yes,24,
CSE,6,B4-abc014,Statistics for Health Technology,3,1,0,0,4,Dr. Ramesh Athe,Yes,19,
CSE,6,B4-abc015,Medical Image Analysis,3,0,0,4,4,Dr. Girish GN,Yes,16,
CSE,6,B4-CS472,Bioinformatics,,,,,,Dr. Sunil Kumar PV,Yes,20,
CSE,6,CS399,Mini Project 1,0,0,0,8,2,Dr. Pramod Yelmewad and Animesh Roy,Yes,70,
CSE,8,CS499,Major-Project,0,0,0,32,8,Dr. Pramod Yelmewad and Dr. Animesh Roy,Yes,70,
DSAI,2,MA163,Linear Algebra,3,1,0,0,2,Dr. Sibasankar Padhy,Yes,70,
DSAI,2,CS162,Optimization,3,1,0,0,2,Dr. Dibyajyothi Guha,Yes,70,
DSAI,2,CS164,Computer Architecture,3,0,2,0,2,Dr. Manjunath,Yes,70,
DSAI,2,HS161,English Language and Communication,3,0,0,0,3,Dr. Rajesh N S,Yes,70,
DSAI,2,CS163,Data Structures & Algorithms,3,0,2,0,4,Dr. Sunil Saumya,Yes,70,
DSAI,2,DS164,Data Curation Techniques,2,0,2,0,3,Dr. Siddharth R,Yes,70,
DSAI,2,B3-NEW,Data Science with Python,0,0,2,0,0,Dr. Abdul Wahid,Yes,27,
DSAI,2,B3-NEW,Introduction to Digital VLSI Design,0,0,2,0,0,Dr Prakash Pawar,Yes,24,
DSAI,2,B3-NEW,Industry Insights Program Part 1,0,0,1,0,0,Mr. Ram Subramanian & Mr. Sasi Kumar Sundara Rajan,Yes,32,
DSAI,2,B3-NEW,Principles of Quantum Physics,0,0,2,0,0,Dr. Ashwath Babu & Prof. Ravi Shankar,Yes,18,
DSAI,2,B4-NEW,Linux for Engineers,0,0,2,0,0,Dr. Shirshendu Layek,Yes,22,
DSAI,2,B4-NEW,Photography101,0,0,1,0,0,Dr Prabhu Prasad BM,Yes,31,
DSAI,2,B4-NEW,Introduction to Holistic Personality Development,0,0,1,0,0, Prof. Chachadi and Dr. Chandrika K,Yes,25,
DSAI,2,B4-NEW,Visual Design – Principles and Application in Product Communication,,0,0,2,0,0,Dr. Sandesh P,Yes,19
DSAI,2,B4-ASD151,Introduction to Design,0,0,1,0,0,Dr. Sandesh P,Yes,27,
DSAI,2,B4-HS151,Introduction to Personal Finance,0,0,2,0,0,Dr. Siddharth,Yes,23,
DSAI,2,B4-NEW,Introduction to Internet of Things,0,0,2,0,0,Dr Jagadeesha Bhat,Yes,26,
DSAI,2,B4-NEW,Computer Intensive Statistical Methods,0,0,2,0,0,Dr Ramesh Athe,Yes,21,
DSAI,2,B4-NEW,Concurrency and Computation,0,0,2,0,0,Dr Pramod Y,Yes,18,
DSAI,4,MA202,Linear Algebra,3,1,0,0,4,Dr. Chinmayananda,Yes,70,
DSAI,4,HS206,Industrial Social Psychology,3,0,0,0,3,Dr. Navyashree,Yes,70,
DSAI,4,CS204,Operating Systems,3,1,0,0,4,Dr. Manjunath KV,Yes,70,
DSAI,4,DS204,Software Engineering and Services,3,0,2,0,4,Dr. Animesh Chaturvedi,Yes,70,
DSAI,4,CS310,Database Management System,3,1,2,0,5,Dr. Shirshendu & Dr. Utkarsh Khaire,Yes,70,
DSAI,4,DS205,Global Business Perspectives,3,0,0,0,3,Mr. Manmohan Singh,Yes,70,
DSAI,6,DS309,Cloud Computing,3,0,0,4,4,Dr. Animesh Chaturvedi,Yes,70,
DSAI,6,DS306,Financial Data Analytics,3,0,0,4,4,Dr. Utkarsh Khaire,Yes,70,
DSAI,6,DS307,Innovation & Entrepreneurship,3,1,0,0,4,Mr. Ram Subramanian,Yes,70,
DSAI,6,DS308,Data Security & Privacy,3,1,0,0,4,Dr. Abdul Wahid & Dr. Rajendra Hegadi,Yes,70,
DSAI,6,DS399,Mini Project-I,0,0,0,8,2,Coordinator: Dr. Shirshendu,Yes,70,
DSAI,6,HS101,Environmental Studies,,,,,,-,Yes,70,
DSAI,6,B1-CS464,Deep Learning for Computer Vision,3,1,0,0,4,Dr. Chinmayanand,Yes,28,
DSAI,6,B1-NEW,Large Language Models,3,0,0,4,4,Dr. Sunil S,Yes,31,
DSAI,6,B1-CS458,Natural Language Processing,3,1,0,0,4,Dr. Krishnendu,Yes,25,
DSAI,6,B1-NEW,Deep Speech Processing,3,1,0,0,4,Prof. SRM Prasanna,Yes,19,
DSAI,6,B2-CS455,Blockchain Technology,3,0,0,4,4,Dr. Rajendra H,Yes,24,
DSAI,6,B2-EC361,Introduction to 5G Network,3,1,0,0,4,Dr. Jagadeesha R Bhat,Yes,22,
DSAI,6,B2-NEW,Model Checking,3,0,0,4,4,Dr. Pavan,Yes,15,
DSAI,6,B2-NEW,Quantum Communication,3,0,0,0,3,Dr. Aswath B,Yes,18,
DSAI,6,B2-NEW,Quantum HPC and AI,1,0,0,0,1,Dr. Manish M (Dr. Aswath),Yes,21,
DSAI,6,B2-NEW,Design Thinking and Innovation,3,1,0,0,4,Dr. Sandesh P,Yes,29,
ECE,2,-,Linear Algebra,3,1,0,0,2,Dr. Somen Bhattacharjee,Yes,70,
