Room_ID,Capacity,Type,Facilities
C101,85,Classroom,"Whiteboard, Display Screen"
C102,85,Classroom,"Whiteboard, Display Screen"
C104,85,Classroom,"Whiteboard, Display Screen"
H105,60,Lab,"Hardware, Whiteboard"
L106,45,Lab,"Computers, Whiteboard"
L107,45,Lab,"Computers, Whiteboard"
C202,85,Classroom,"Whiteboard, Display Screen"
C203,85,Classroom,"Whiteboard, Display Screen"
C204,85,Classroom,"Whiteboard, Display Screen"
C205,85,Classroom,"Whiteboard, Display Screen"
H206,60,Lab,"Hardware, Whiteboard"
L207,45,Lab,"Computers, Whiteboard"
L208,45,Lab,"Computers, Whiteboard"
C004,240,"240-Seater Hall","Projector, Whiteboard"
C002,120,"120-Seater Halll","Projector, Whiteboard"
C003,120,"120-Seater Hall","Projector, Whiteboard"
C301,70,Classroom,"Whiteboard, Display Screen"
C302,70,Classroom,"Whiteboard, Display Screen"
C303,70,Classroom,"Whiteboard, Display Screen"
C304,70,Classroom,"Whiteboard, Display Screen"
C305,70,Classroom,"Whiteboard, Display Screen"
L306,35,Lab,"Computers, Whiteboard"
L307,35,Lab,"Computers, Whiteboard"
L308,35,Lab,"Computers, Whiteboard"
H309,60,Lab,"Hardware, Whiteboard"
C401,70,Classroom,"Whiteboard, Display Screen"
C402,70,Classroom,"Whiteboard, Display Screen"
C403,70,Classroom,"Whiteboard, Display Screen"
C404,70,Classroom,"Whiteboard, Display Screen"
L405,45,Lab,"Computers, Whiteboard"
L406,45,Lab,"Computers, Whiteboard"
L407,45,Lab,"Computers, Whiteboard"
H408,60,Lab,"Hardware, Whiteboard"

