Course Code,Course-Name,Instructor,Room,Day,Start-Time,End-Time,Branch,Semester
MA261,Differential Equations (Lecture),Dr. Anand Barangi,R1,Tue,16:00,17:30,CSE,3
MA261,Differential Equations (Lecture),Dr. Anand Barangi,R4,Mon,13:00,14:30,CSE,3
MA261,Differential Equations (Tutorial),Dr. Anand Barangi,R3,Mon,09:00,10:00,CSE,3
MA262,Multivariate Calculus (Lecture),Dr. Somen Bhattacharjee,R3,Thu,09:00,10:30,CSE,3
MA262,Multivariate Calculus (Lecture),Dr. Somen Bhattacharjee,R1,Thu,10:30,12:00,CSE,3
MA262,Multivariate Calculus (Tutorial),Dr. Somen Bhattacharjee,R2,Fri,09:00,10:00,CSE,3
CS261,Operating System (Lecture),Dr. Suvadip Hazra,R1,Thu,13:00,14:30,CSE,3
CS261,Operating System (Lecture),Dr. Suvadip Hazra,R1,Fri,13:00,14:30,CSE,3
CS262,Software Design Tools And Techniques (Lecture),Dr. Vivekraj V K,R2,Thu,16:00,17:30,CSE,3
CS262,Software Design Tools And Techniques (Lecture),Dr. Vivekraj V K,R2,Tue,14:30,16:00,CSE,3
CS262,Software Design Tools And Techniques (Lab),Dr. Vivekraj V K,Lab2,Tue,09:00,11:00,CSE,3
CS263,Design & Analysis of Algorithm (Lecture),Dr. Pramod Yelmewad,R1,Fri,10:30,12:00,CSE,3
CS263,Design & Analysis of Algorithm (Lecture),Dr. Pramod Yelmewad,R1,Tue,13:00,14:30,CSE,3
CS263,Design & Analysis of Algorithm (Lab),Dr. Pramod Yelmewad,Lab2,Wed,11:00,13:00,CSE,3
CS264,Computer Networks (Lecture),Dr. Prabhu Prasad B M,R1,Mon,14:30,16:00,CSE,3
CS264,Computer Networks (Lecture),Dr. Prabhu Prasad B M,R4,Mon,10:30,12:00,CSE,3
CS264,Computer Networks (Tutorial),Dr. Prabhu Prasad B M,R4,Fri,15:00,16:00,CSE,3
HS261,HSS(Ethics & Values) (Lecture),Dr. Aswath Babu,R2,Mon,16:00,17:30,CSE,3
HS261,HSS(Ethics & Values) (Lecture),Dr. Aswath Babu,R2,Wed,16:00,17:30,CSE,3
EC251,Electronics System Design - I (Lecture),Dr. Pankaj,R2,Fri,16:00,17:30,CSE,3
EC251,Electronics System Design - I (Lecture),Dr. Pankaj,R2,Wed,14:30,16:00,CSE,3
EC251,Electronics System Design - I (Tutorial),Dr. Pankaj,R4,Wed,10:00,11:00,CSE,3
EC252,Introduction to RFIC Design (Lecture),Dr. Sibshankar Padhy,R4,Thu,14:30,16:00,CSE,3
EC252,Introduction to RFIC Design (Lecture),Dr. Sibshankar Padhy,R2,Wed,13:00,14:30,CSE,3
EC252,Introduction to RFIC Design (Tutorial),Dr. Sibshankar Padhy,R2,Wed,09:00,10:00,CSE,3
CS152,Data Science with Python (Tutorial),Dr. Abdul Wahid,R3,Tue,11:00,12:00,CSE,3
